id,name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,04/01 - 10/01,11/01 - 17/01,18/01 - 24/01,25/01 - 31/01,01/02 - 07/02,08/02 - 14/02,15/02 - 21/02,22/02 - 28/02,01/03 - 07/03,08/03 - 14/03,15/03 - 21/03,22/03 - 28/03,29/03 - 04/04,05/04 - 11/04,12/04 - 18/04,19/04 - 25/04,26/04 - 02/05,03/05 - 09/05,10/05 - 16/05,17/05 - 23/05,24/05 - 30/05,31/05 - 06/06,07/06 - 13/06,14/06 - 20/06,21/06 - 27/06,28/06 - 04/07,05/07 - 11/07,12/07 - 18/07,19/07 - 25/07,26/07 - 01/08,02/08 - 08/08,09/08 - 15/08,16/08 - 22/08,23/08 - 29/08,30/08 - 05/09,06/09 - 12/09,13/09 - 19/09,20/09 - 26/09,27/09 - 03/10,04/10 - 10/10,11/10 - 17/10,18/10 - 24/10,25/10 - 31/10,01/11 - 07/11,08/11 - 14/11,15/11 - 21/11,22/11 - 28/11,29/11 - 05/12,06/12 - 12/12,13/12 - 19/12,20/12 - 26/12,27/12 - 02/01
1000001,Worker 1,,,"Guarding Duties
(18/01/2026-24/01/2026)",,"Test2
(01/02/2026-07/02/2026)",,"Cleaning
(15/02/2026-21/02/2026)",,,"Kitchen
(08/03/2026-14/03/2026)",,"Test1
(22/03/2026-28/03/2026)",,,,,"Test2
(26/04/2026-02/05/2026)",,,"Test2
(17/05/2026-23/05/2026)","Cleaning
(24/05/2026-30/05/2026)",,,,,,,"Test2
(12/07/2026-18/07/2026)",,,,"Security
(09/08/2026-15/08/2026)",,,,,,,"Kitchen
(27/09/2026-03/10/2026)",,,"Maintenance
(18/10/2026-24/10/2026)",,,,"Test3
(15/11/2026-21/11/2026)",,"Maintenance
(29/11/2026-05/12/2026)",,,,
1000002,Worker 2,,,,,,"RASAR
(08/02/2026-14/02/2026)",,,"Kitchen
(01/03/2026-07/03/2026)",,,"Security
(22/03/2026-28/03/2026)",,,,"Guarding Duties
(19/04/2026-25/04/2026)",,,,,,,,,,,,"Guarding Duties
(12/07/2026-18/07/2026)",,,,,,"Test3
(23/08/2026-29/08/2026)",,,,,,,,,,,"Training
(08/11/2026-14/11/2026)",,,"Test2
(29/11/2026-05/12/2026)",,"Maintenance
(13/12/2026-19/12/2026)",,"Kitchen
(27/12/2026-02/01/2027)"
1000003,Worker 3,"Test2
(04/01/2026-10/01/2026)","Training
(11/01/2026-17/01/2026)",,"Test3
(25/01/2026-31/01/2026)",,,,,"Cleaning
(01/03/2026-07/03/2026)",,"Test2
(15/03/2026-21/03/2026)",,,"Test3
(05/04/2026-11/04/2026)",,,,,"Security
(10/05/2026-16/05/2026)",,,"Security
(31/05/2026-06/06/2026)","Maintenance
(07/06/2026-13/06/2026)",,"Test3
(21/06/2026-27/06/2026)","Security
(28/06/2026-04/07/2026)",,"Training
(12/07/2026-18/07/2026)",,,,,"Test2
(16/08/2026-22/08/2026)",,,,"Cleaning
(13/09/2026-19/09/2026)",,,"Maintenance
(04/10/2026-10/10/2026)",,,,,,,,,"Training
(06/12/2026-12/12/2026)",,,
1000004,Worker 4,,,,,"RASAR
(01/02/2026-07/02/2026)",,,,"Maintenance
(01/03/2026-07/03/2026)",,,,"Maintenance
(29/03/2026-04/04/2026)","Test3
(05/04/2026-11/04/2026)",,,"Test2
(26/04/2026-02/05/2026)","Test1
(03/05/2026-09/05/2026)",,,,"RASAR
(31/05/2026-06/06/2026)","Maintenance
(07/06/2026-13/06/2026)","Security
(14/06/2026-20/06/2026)",,,,,,,,,"Cleaning
(16/08/2026-22/08/2026)",,"RASAR
(30/08/2026-05/09/2026)","Kitchen
(06/09/2026-12/09/2026)","RASAR
(13/09/2026-19/09/2026)",,,,"RASAR
(11/10/2026-17/10/2026)",,,,"Cleaning
(08/11/2026-14/11/2026)","Cleaning
(15/11/2026-21/11/2026)",,,,,"Test2
(20/12/2026-26/12/2026)",
1000005,Worker 5,,,,,,,"RASAR
(15/02/2026-21/02/2026)",,,,,,,"Test3
(05/04/2026-11/04/2026)",,,"Test1
(26/04/2026-02/05/2026)",,,,,,,,,,,"RASAR
(12/07/2026-18/07/2026)","RASAR
(19/07/2026-25/07/2026)",,,"Kitchen
(09/08/2026-15/08/2026)","RASAR
(16/08/2026-22/08/2026)",,,,,"Cleaning
(20/09/2026-26/09/2026)",,,,"Test3
(18/10/2026-24/10/2026)","Kitchen
(25/10/2026-31/10/2026)","Guarding Duties
(01/11/2026-07/11/2026)",,"Security
(15/11/2026-21/11/2026)","Security
(22/11/2026-28/11/2026)","Cleaning
(29/11/2026-05/12/2026)",,,,
1000006,Worker 6,,,"Kitchen
(18/01/2026-24/01/2026)",,,,,,,,"Maintenance
(15/03/2026-21/03/2026)","Kitchen
(22/03/2026-28/03/2026)",,"Training
(05/04/2026-11/04/2026)",,,,,,,,"Security
(31/05/2026-06/06/2026)","RASAR
(07/06/2026-13/06/2026)",,,"Security
(28/06/2026-04/07/2026)",,,,"Test3
(26/07/2026-01/08/2026)",,,,,,,,,,,"Security
(11/10/2026-17/10/2026)",,,"Kitchen
(01/11/2026-07/11/2026)",,,,"Kitchen
(29/11/2026-05/12/2026)",,,,"Maintenance
(27/12/2026-02/01/2027)"
1000007,Worker 7,,,,,,,,,,"Test3
(08/03/2026-14/03/2026)",,"Guarding Duties
(22/03/2026-28/03/2026)",,,,,,"Test2
(03/05/2026-09/05/2026)","Training
(10/05/2026-16/05/2026)",,,,,,,"RASAR
(28/06/2026-04/07/2026)",,,,,"Kitchen
(02/08/2026-08/08/2026)","Test3
(09/08/2026-15/08/2026)","Guarding Duties
(16/08/2026-22/08/2026)",,,"Training
(06/09/2026-12/09/2026)",,,"Test1
(27/09/2026-03/10/2026)","Test1
(04/10/2026-10/10/2026)","Test2
(11/10/2026-17/10/2026)",,,,,,,,,,,
1000008,Worker 8,,"Cleaning
(11/01/2026-17/01/2026)",,"Test2
(25/01/2026-31/01/2026)","Test2
(01/02/2026-07/02/2026)",,,,,,,"Maintenance
(22/03/2026-28/03/2026)",,,,,"Cleaning
(26/04/2026-02/05/2026)","RASAR
(03/05/2026-09/05/2026)",,"Training
(17/05/2026-23/05/2026)",,"Security
(31/05/2026-06/06/2026)",,"RASAR
(14/06/2026-20/06/2026)",,,,"Cleaning
(12/07/2026-18/07/2026)","Test2
(19/07/2026-25/07/2026)",,,,,,"Security
(30/08/2026-05/09/2026)",,"Test3
(13/09/2026-19/09/2026)","Test1
(20/09/2026-26/09/2026)",,,,"Cleaning
(18/10/2026-24/10/2026)","Cleaning
(25/10/2026-31/10/2026)",,,"Test2
(15/11/2026-21/11/2026)","Security
(22/11/2026-28/11/2026)",,,,"Security
(20/12/2026-26/12/2026)","Training
(27/12/2026-02/01/2027)"
1000009,Worker 9,"Cleaning
(04/01/2026-10/01/2026)",,,,,"Test2
(08/02/2026-14/02/2026)","RASAR
(15/02/2026-21/02/2026)",,,,,,"Test3
(29/03/2026-04/04/2026)",,,,,,"Maintenance
(10/05/2026-16/05/2026)",,,,,,,,,"Guarding Duties
(12/07/2026-18/07/2026)","RASAR
(19/07/2026-25/07/2026)","Training
(26/07/2026-01/08/2026)","Guarding Duties
(02/08/2026-08/08/2026)",,,,,,,,,,,,,,"Security
(08/11/2026-14/11/2026)",,,"RASAR
(29/11/2026-05/12/2026)",,"Guarding Duties
(13/12/2026-19/12/2026)",,"Security
(27/12/2026-02/01/2027)"
